title,content,tokens
Page 11,"Katrina Todd, MEd, Education Specialist, Alabama Reading Initiative Wendy Warren, MEd, Education Specialist, Alabama Reading Initiative Kathy Wilkins, MEd, Education Specialist, Special Education Services Charles V . Creel , Graphic Arts Specialist, Communications 2021 Alabama Course of Study: English Language Arts xi",64
Page 12,"Alabama Course of Study: English Language Arts GENERAL INTRODUCTION The Alabama Course of Study: English Language Arts defines what modern learners should know and be able to accomplish after each grade level or course and upon graduation from high school so that they become literate citizens who can enjoy the benefits and meet the responsibilities of citizenship. This document was created by an English Language Arts Course of Study Committee and Task Force consisting of educators from Kindergarten through college, reading specialists, public school administrators, and business and community leaders. For the first time, a task force of special education teachers and administrators met with the other members of the course of study committee to offer advice, perspective, and professional expertise as the group examined the supports which are needed for students with special needs. Mastering the content embodied in the Alabama Course of Study: English Language Arts standards empowers students to understand and influence the world around them and prepares them to leverage professional opportunities. The standards guide learners to communicate effectively, develop appreciation for literature, understand diversity in literature and society, and utilize digital resources to function productively in an ever-evolving global community. The standards specify the skills and understandings needed for postsecondary and workforce applications in multiple disciplines. Standards in the 2021 Alabama Course of Study: English Language Arts are categorized into Literacy Foundations, Expression, and Reception, which are adapted from the Reading Framework for the 2019 National Assessment of Educational Progress (NAEP) and the essential learning established in the Alabama Literacy Act. The Alabama Literacy Act outlines “steps to improve the reading proficiency of public school kindergarten to third grade students and ensures that those students are able to read at or above grade level by the end of the third grade” (Alabama Literacy Act, #2019-523). The act provides the means for learners to develop a strong foundation in literacy and be fully prepared for secondary, postsecondary, and workplace learning. The standards fully support early literacy foundations by defining literacy, fostering an appreciation for literature, encompassing diversity of literature, incorporating digital literacy, and integrating literacy into all content areas. Assessing literacy and providing professional learning for elementary educators, as required in the Alabama Literacy Act, are important supports for the 2021 Alabama Course of Study: English Language Arts 1",458
Page 13,"implementation of standards. This intense focus on reading and writing enhances the acquisition and development of knowledge in all subject areas, thus creating well-rounded readers who are fluent with varied types and complexities of texts. The standards encourage a broad view of literacy that promotes knowledge-building across categories and subjects, making integration of content and collaboration among educators much easier to achieve. All standards contained in this document are: ●written in a clear, understandable, and consistent format to be relatable and applicable to learners’ lives; ●organized in ways that are appropriate for their particular grade band; ●designed to include rigorous, focused, and critical content and application of knowledge through high-order skills; ●grounded on sound, evidence-based research; and ●designed to ensure that all students are prepared to succeed in our global economy and society . Standards are written at various levels utilizing criteria from Marzano’s Instructional Framework, the revised Bloom’s Taxonomy, and Norman Webb’s Depth of Knowledge (DOK). The standards set high expectations for student learning by requiring substantial attention to foundational reading, mandating comprehension of all kinds of text, and encouraging the development of advanced reading proficiency through increasingly complex texts. Writers of the standards took into consideration the science of reading, which is a body of research on how the brain learns to read that has emerged from multiple disciplines, such as cognitive psychology, neuroscience, and linguistics. These findings provided guidance on the structuring of standards that explicitly define content to support students as they learn to become proficient readers. The Alabama Course of Study: English Language Arts includes a set of essential, recurring standards for each grade band, designated as Recurring Standards for English Language Arts. The Recurring Standards represent content that is so integral to English Language Arts that it is emphasized in multiple grade levels. By prescribing that this content be included in more than one grade, the Course of Study affords students an opportunity for deep, rich learning that is scaffolded to meet diverse learning needs. Because content increases in rigor throughout the Course of Study, the recurring standards change from one grade band to the next, reflecting the increasing scope and complexity of the scaffolded content. Effective implementation of the 2021 Alabama Course of Study: English Language Arts requires local education agencies to research and adopt local curriculum addressing the minimum required content found in this document. Local systems may add standards, but no standards may be omitted. Systems should add implementation guides, resources, and activities which are beyond the scope of this 2021 Alabama Course of Study: English Language Arts 2",519
Page 14,"document. Please refer to the section entitled Synopsis of Laws, Regulations, and Resolutions Relating to English Language Arts for additional guidance on selecting curricular materials. Professional learning is required to ensure that teachers have the opportunity to become familiar with the emphases and standards of the 2021 Alabama Course of Study: English Language Arts . Familiarity with the document will help with the selection of curricular materials and with planning for effective instruction. 2021 Alabama Course of Study: English Language Arts 3",101
Page 15,Alabama Course of Study: English Language Arts CONCEPTUAL FRAMEWORK 2021 Alabama Course of Study: English Language Arts 4,29
Page 16,"Alabama Course Of Study: English Language Arts CONCEPTUAL FRAMEWORK The conceptual framework graphic on the previous page illustrates the goal of the 2021 Alabama Course of Study: English Language Arts, which is to ensure that all students achieve English language literacy. This goal can be accomplished when local education agencies use the logical and comprehensive standards in this Course of Study to select curriculum materials and create the implementation guides needed to deliver effective instruction. Implementation of the Course of Study will encourage students to be lifelong, critical thinkers who can judge the validity of what they hear or read and express ideas effectively. The three concentric circles depict the numerous literacies required of today’s high school graduates. These circles highlight both the components and the foundations of literacy. The dark red Literacy Foundations band around the center indicates the importance of strong foundations needed for all areas of literacy. Literacy Foundations in this Course of Study (Oral Language, Concepts of Print, Phonological Awareness/Phonemic Awareness, Phonics, Fluency, V ocabulary, Comprehension, and Writing) are closely aligned with current research on the science of reading. The yellow and orange semi-circles represent the two major components of literacy needed for effective communication -- reception (the process of receiving information) and expression (the process of producing information). The outer circle breaks down these major categories to depict the methods of receiving and producing information -- listening, reading, speaking, and writing, the four basic components of communication and the facets of English Language Arts listed in the Code of Alabama. Communication is at the heart of literacy; the reception and expression of thoughts and concepts, coupled with their integral mental and physical processes, enable the formation and exchange of ideas. All students, regardless of their abilities, can participate in this exchange. Reading and listening, shown in the graphic in shades of blue, are paired with reception. Reading incorporates literacy foundations and skills for interpreting and analyzing written materials. Listening is not merely hearing others share ideas; it involves the active listening and responding which are necessary for collaboration and comprehension in various academic and non-academic contexts. 2021 Alabama Course of Study: English Language Arts 5",442
Page 17,"Writing and speaking, in shades of green, are aligned with expression. Writing begins at a foundational level, with the mechanical skills of letter formation and handwriting, and includes skills necessary to spell (encode) words, and then evolves into composing texts in multiple genres and formats, conducting research, and documenting sources. Speaking includes the verbal and non-verbal communication of information and ideas to a variety of audiences in different situations for many different purposes. The center portion of the graphic represents the heart of the mission of the 2021 Alabama Course of Study: English Language Arts. The images of the books and tablet convey the idea that English language literacy is achieved through multiple media. The mortarboard on the map represents the goal of English language literacy for all Alabama graduates. The skills and knowledge represented in the conceptual framework of the Alabama Course of Study: English Language Arts will prepare students to function as highly skilled communicators, critical thinkers, and effective problem-solvers. They will be able to meet the academic demands of elementary, middle, and high school and be prepared for further study and the workplace. Alabama students can achieve the goal of English language literacy. 2021 Alabama Course of Study: English Language Arts 6",242
Page 18,"SYNOPSIS OF LAWS, REGULATIONS, AND RESOLUTIONS RELATING TO ENGLISH LANGUAGE ARTS Program Foundation The Alabama Course of Study: English Language Arts provides the legal foundation for the minimum content of a locally adopted English Language Arts curriculum, as specified in the Code of Alabama, § 16-6B-2(f), Core curriculum. Using the Course of Study, school superintendents direct the selection, development, and implementation of curriculum for schools in their systems. Local boards of education approve this curriculum and make it available to each teacher and interested citizen. The state textbook adoption process for English Language Arts will begin after the Alabama State Board of Education adopts the 2021 Alabama Course of Study: English Language Arts . Upon completion of the state textbook adoption process, local school districts have the opportunity to select resources to support instruction based on this course of study and the curriculum mandated by local boards. Program Implementation English Language Arts instruction is required in all grades, Kindergarten through Grade 12. A minimum of four credits in English Language Arts is required for high school graduation. Legal Foundations Dyslexia ADMINISTRATIVE CODE SUPP. (NO. 98-4) This is a measure to ensure that Alabama’s students with dyslexia are provided with early identification and dyslexia-specific intervention through general education in Alabama schools as part of the Problem Solving Team process. The code ensures that Alabama is equipped to appropriately serve students with dyslexia. Amendment to Alabama Admin Code Regulation 290-3-1-.20 (Problem Solving Teams). 2021 Alabama Course of Study: English Language Arts 7",338
Page 19,"English Learners (ELs) In Alabama an English Learner (EL) is an individual — (A) who is aged 3 through 21; (B) who is enrolled or preparing to enroll in an elementary school or secondary school; (C) (i) who was not born in the United States, or whose native language is a language other than English; (ii) (I) who is a Native American or Alaska Native, or a native resident of the outlying areas; and (II) who comes from an environment where a language other than English has had a significant impact on the individual’s level of English language proficiency; or (iii) who is migratory, whose native language is a language other than English, and who comes from an environment where a language other than English is dominant; and (D) whose difficulties in speaking, reading, writing, or understanding the English language may be sufficient to deny the individual— (i) the ability to meet the challenging state academic standards; (ii) the ability to successfully achieve in classrooms where the language of instruction is English; or (iii) the opportunity to participate fully in society . Students whose first language is not English, designated as English Learners (ELs), are expected to “meet the (same) challenging State academic standards expected of all students” [ESEA section 1113(C)(i)(II)(cc)]. According to the U.S. Department of Education and the U.S. Department of Justice (2015), “EL students are entitled to appropriate language assistance services to become proficient in English.” Each EL student is therefore entitled to instructional supports, scaffolds, and services that support him or her to meet grade-level standards and to participate meaningfully in the English Language Arts classroom while they acquire English. Lexi’s Law Act #2016-352 Lexi's Law requires cursive handwriting to be taught by the end of third grade in all state schools. Lexi's Law prescribes a standardized method for teaching cursive handwriting and provides classroom instruction plans outlining when and how cursive handwriting is to be taught. The Alabama Literacy Act #2019-523 The Alabama Legislature passed the Alabama Literacy Act [HB388], which became a law on June 10, 2019. This legislation, based on the best current research, provides comprehensive information and guidance for educators and requires concentrated, systematic efforts to improve the reading skills of all public school students so that every student is reading at or above grade-level by the end of Grade 3. The Alabama Literacy Act outlines steps to improve the reading proficiency of each student in Kindergarten through Grade 3 2021 Alabama Course of Study: English Language Arts 8",553
Page 20,"and ties the student’s progression from one grade to the next, in part, to his/her proficiency in reading. The legislation defines specific foundational skills to be taught and mastered in Alabama public schools. Problem Solving Teams (PST) . By August 15, 2011, all public schools in Alabama were required to implement the PST model. (a) Definitions. (1.) Problem Solving Teams (PST) is a model to guide general education intervention services for all students who have academic and/or behavioral difficulties. The PST is central to the school’s successful implementation of the Response to Instruction (RtI) framework. (2.) Response to Instruction (RtI) refers to an instructional framework that promotes a well-integrated system connecting general, gifted, supplemental, and special education services in providing high-quality, standards-based instruction and intervention that is matched to students’ academic, social-emotional, and behavioral needs. RtI combines core instruction, assessment, and intervention within a multi-tiered system to increase student achievement and reduce behavior problems. (b) Decisions regarding the number of PSTs needed by a school should be determined at the school level; however, a minimum of one PST per school is required to review data-based documentation regarding students’ progress regularly, advise teachers on specific interventions matched to student needs, and communicate with parents regarding interventions being provided. (c) The Problem Solving Teams will analyze the screening and progress-monitoring data to assist teachers in planning and implementing appropriate instruction and evidence-based interventions for all students with academic and/or behavioral dif ficulties, including those students who exhibit the characteristics of dyslexia. (d) The documentation requirements for a referral to special education are found in the Alabama Administrative Code, Chapter 290-8-9.01(2) and (4) (Child Identification) and Chapter 290-8- 9.03(10)(b)1, (10)(c)2.(ii), (10)(d)2.(I)(II)(ii) and (10)(d)4. 2021 Alabama Course of Study: English Language Arts 9",447
Page 21,"POSITION STATEMENTS The 2021 Alabama Course of Study: English Language Arts defines the minimum content in terms of what students should know or be able to do at the end of each course or grade. For these standards to be met, educators at district and school levels must engage with the standards and apply them to their own situations. Certain fundamental understandings are integral to this process of engagement and application. The committee formulated position statements to elaborate upon the standards and the expectations under which local education agencies should work as they select and/or write curriculum and other materials to implement the Course of Study . Defining Literacy Literacy encompasses the ability to identify , understand, interpret, create, communicate, and process information using printed and written materials in various contexts. The English Language Arts Course of Study approaches literacy in the context of two major categories, reception and expression. Reception refers to the ability to understand both spoken and written words through listening and reading. Reading instruction includes all components needed for students to read fluently and comprehend readily . In order to comprehend what they read and hear, students must master skills in the following foundational areas: phonological awareness, phonemic awareness, phonics, fluency , vocabulary , oral language, and comprehension. Expression, the production of language either in spoken or written form, is accomplished through speaking and writing. Proficiency in expression includes both the use of correctly crafted sentences and the effective, expressive communication of ideas. To communicate successfully through written expression, students must master skills in the following foundational areas: phonological awareness, phonemic awareness, phonics, handwriting, encoding (spelling), and correct sentence formulation/or ganization, including punctuation, while also continuing to develop oral language, vocabulary , and topic knowledge. As students master the English Language Arts standards, they should also learn to conduct research using technology to access a variety of resources. Digital literacy instruction teaches students to locate and use information responsibly to become better readers, writers, and thinkers. 2021 Alabama Course of Study: English Language Arts 10",411
Page 22,"The purpose of English Language Arts instruction is to develop English language literacy in all students, including the ability to listen, speak, read, and write fluently; to think critically; to solve problems independently; and to use digital resources responsibly. The ultimate goal of literacy instruction is to prepare students to utilize higher-order thinking skills, process information proficiently, and communicate effectively so they can meet opportunities and challenges, respond to the world around them, and impact the lives of others in beneficial and productive ways. Appreciation of Literature While creating fluent, accurate readers is vital, engendering a love for reading and an appreciation of literature is also an important goal. In Kindergarten through Grade 3, substantial amounts of classroom reading instruction should be devoted to teaching students to read. Explicit instruction in phonological awareness and phonics in the primary grades will provide the foundation for strong literacy skills. In later grades, when students are capable of reading the words, teachers can begin to focus on comprehension strategies such as summarizing, predicting, questioning, identifying main ideas, making inferences, identifying the author's purpose, and distinguishing fact from opinion. Direct instruction in evidence-based reading strategies does not distract from reading enjoyment; rather, it increases the pleasure that may be gained from reading literature. Students who are able to decode words and comprehend what they read should be encouraged to experience a variety of authentic texts and to select some of their own reading materials. In addition, opportunities should be provided for sufficient quantity and quality of reading to bring students into regular contact with new words, sentence structures, and paragraph and story structures, which will expand their reading abilities. To help students cultivate their love for reading and an appreciation of literature, teachers should allow readers to select some materials of particular interest to them. Such opportunities will build reading fluency and comprehension. Of course, self-selected reading materials are not intended to replace the challenging materials assigned for direct instruction. Diversity of Literacy English Language Arts instruction must include learning experiences which encompass critical, research, language, vocabulary, and digital literacies to provide a diverse foundation for reception and expression. Using different types of texts in digital and print formats promotes the diversity needed for a complete reading and writing experience. Texts that are inclusive of varied perspectives, backgrounds, and cultural influences should be available and used in the classroom. Diversity encompasses selecting disparate genres and various authors from an array of cultural, gender, and racial/ethnic backgrounds. Text selections should include varied character representations, topics or themes, settings, and situations that allow students to explore 2021 Alabama Course of Study: English Language Arts 11",525
Page 23,"and discover views and experiences which are different from their own. The use of diverse texts encourages students to examine their current ideas, promotes empathy for others, and nurtures a richer understanding of the world. Additionally , the formats of texts should represent all modern communication avenues and tools, which may vary greatly from traditional ways of communicating. The twenty-first-century student needs to be ready to function in a world of constantly evolving pathways for communication. To enable students to increase their ability to understand, evaluate, and foster a global society , English Language Arts teachers should use technology in support of learning and digital information in tandem with instruction to shape a diverse learning experience. Digital Literacy Students in the twenty-first century need to develop comprehensive skills to communicate effectively using digital technologies. Digital literacy can be defined as the ability to locate, understand, use, and compose information on different media platforms using various elements (images, sound, movement, words) shared through digital technologies. Digital literacy is not limited to the ability to use a computer or some other digital device; rather , it means students become critical users of technology who utilize the tools and modes of digital communication to reach audiences for the purpose and message of their own communication. Instruction in English Language Arts should aim to support the standards in the Alabama Course of Study: Digital Literacy and Computer Science and to produce digitally literate citizens by incorporating digital literacy skills in all areas. Students should be equipped to read and critique digital texts, find credible digital sources for their research, analyze and evaluate digital and multimedia texts, and compose and create texts in various formats, using all modes of communication. Digitally literate students are well prepared to join the workforce, with the knowledge, skills, and flexibility to perform daily , job-related tasks using a variety of current and emer ging technologies. In addition, digital literacy opens paths for exploration and enjoyment in the digital world. Literacy Integration in All Content Areas Reading in content areas is reading to acquire information in order to build conceptual knowledge, formulate and test hypotheses, explain how a solution was derived, and understand contexts and perspectives. As students explore texts in various subjects, they refine their skills in reading, writing, listening, and speaking. Integrating academic literacy instruction into content area instruction increases the likelihood that students will make inferences, identify main ideas, learn vocabulary , link ideas across texts, and construct meaning from content-area texts. This is especially important for primary students as they build knowledge of the world around them. Primary-grades teachers should spend time reading 2021 Alabama Course of Study: English Language Arts 12",523
